X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
6.39406667,48.17373167,0,0,0,393,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.39396333,48.17371,0,0,1,393,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.39386167,48.17369,0,0,2,393,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.39375167,48.17366833,0,0,3,392,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.39363833,48.173645,0,0,4,392,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.39351833,48.17362,0,0,5,392,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.39339333,48.173595,0,0,6,392,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.393265,48.17357,0,0,7,391,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.39314167,48.173545,0,0,8,391,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.39300667,48.17351167,0,0,9,391,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.39287833,48.17348,0,0,10,390,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.39274667,48.17345333,0,0,11,390,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.39261667,48.17342833,0,0,12,390,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.39248833,48.17340333,0,0,13,390,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.39236333,48.17337833,0,0,14,390,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.39223667,48.17335167,0,0,15,390,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.39210333,48.17332333,0,0,16,389,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
6.39196333,48.173295,0,0,17,388,2021/09/20 13:10:59+00,,,,,,,,,,,,,,,,,,,,,
